Intersection,City,State,Latitude,Longitude,District,County,AnnualEst,logAnnualEst,PopH,WalkComH,HseHldH,WalkComPctH,PopQ,WalkComQ,HseHldQ,WalkComPctQ,PopT,WalkComT,HseHldT,PrincArt,MinorArt,Collector,Int4way,SchoolsH,SchoolsQ,SchoolsT,Signal,MaxSlope,EmpSF_H,EmpSF_Q,EmpSF_T,EmpH,EmpQ,EmpT,StMetersH,StSegH,StMetersQ,StSegQ,StMetersT,StSegT,logPopH,logWalkComH,logHseHldH,logWalkComPctH,logPopQ,logWalkComQ,logHseHldQ,logWalkComPctQ,logPopT,logWalkComT,logHseHldT,logMaxSlope,logEmpSF_H,logEmpSF_Q,logEmpSF_T,logEmpH,logEmpQ,logEmpT,logStMetersH,logStSegH,logStMetersQ,logStSegQ,logStMetersT,logStSegT
Hesperian Boulevard & Lewelling Boulevard,County,CA,37.686722,-122.1299406,4,Alameda,320217,12.67675417,7818.333962,62.60996415,2536.49824,0.016020411,1950.457439,15.75654474,644.2058374,0.014864557,314.3822793,0.847453977,99.75416754,2,0,0,1,2,1,0,1,0.0091,1271250,375000,237500,3452,1653,274,36065.99618,468,36065.99618,468,11227.24684,179,8.96422689,4.136940409,7.838540157,-4.073341986,7.575819721,2.757319282,6.468019851,-4.143667777,5.750612876,-0.164339436,4.602718859,-4.595219855,14.05551123,12.83468131,12.37792291,8.146709342,7.410347703,5.613131756,10.49310577,6.148468296,10.49310577,6.148468296,9.326098856,5.187385806
Mission Boulevard & Grove Way,County,CA,37.6801554,-122.0939814,4,Alameda,109128,11.60027679,7577.816025,37.86234845,2760.164178,0.010778553,1894.845152,1.699807398,698.1567051,0.001997147,285.8460098,0.170129569,107.7246638,1,0,1,0,1,0,0,0,0.0123,772500,255000,108750,1597,409,137,28105.73262,263,28105.73262,263,8086.924202,66,8.932980446,3.633983585,7.923045804,-4.441474964,7.546892928,0.531103078,6.548445016,-5.810094443,5.655456737,-1.765334296,4.679587845,-4.319991244,13.55738729,12.44901883,11.59680696,7.375882774,6.013717601,4.919988225,10.24372884,5.572154032,10.24372884,5.572154032,8.99800374,4.189654742
Redwood Road & Castro Valley Boulevard,County,CA,37.6955013,-122.0739765,4,Alameda,472968,13.06678301,7077.215601,91.67881491,2680.00085,0.028087319,1823.138973,28.34657536,687.5001343,0.034476787,278.5169469,4.509871434,106.1509643,1,1,0,1,0,0,0,0,0.0122,1727500,1160000,406250,3251,2085,667,34092.66885,382,34092.66885,382,9114.334297,130,8.864635974,4.518302234,7.893572764,-3.537452958,7.508315553,3.344541501,6.533063479,-3.338876684,5.629482499,1.506490357,4.664871693,-4.327538449,14.36218584,13.96393056,12.91472402,8.086718228,7.642524614,6.502791545,10.43683765,5.945420609,10.43683765,5.945420609,9.117603651,4.86753445
Scarlett Drive & Dublin Boulevard,Dublin,CA,37.705924,-121.9044591,4,Alameda,105289,11.56446424,1921.23469,19.33719554,656.5439833,0.020732873,541.7727883,5.658764704,188.7694164,0.021441521,86.23001565,0.895451287,29.97917049,1,0,0,0,0,0,0,1,0.0049,1632500,346250,47500,3633,910,272,26558.34755,253,26558.34755,253,3877.373059,36,7.560723846,2.962082184,6.486991211,-3.828929301,6.29484855,1.73338232,5.240531549,-3.79684242,4.457029923,-0.109311324,3.400536179,-5.132802928,14.30562314,12.75491634,10.76848501,8.197814307,6.813445698,5.605805743,10.18709939,5.533389489,10.18709939,5.533389489,8.262913157,3.583518938
Hacienda Avenue & Dublin Boulevard,Dublin,CA,37.706344,-121.8881701,4,Alameda,92754,11.43770612,4120.116059,66.59219787,1542.675346,0.029420827,1332.441215,15.33679435,520.6949136,0.020313476,218.8546104,1.976632692,86.69602926,1,1,0,1,1,0,0,1,0.007,2022500,1110000,78750,5497,2049,155,26144.79127,291,26144.79127,291,6121.63368,61,8.323636854,4.198602438,7.341274074,-3.492627813,7.194768789,2.730320001,6.255166212,-3.84841573,5.388412199,0.681900519,4.462419619,-4.828313737,14.51984493,13.91987057,11.27403357,8.61195795,7.625107636,5.043431569,10.17140526,5.673323267,10.17140526,5.673323267,8.719584281,4.110873864
5th Street & Central Avenue,Alameda,CA,37.7715773,-122.2824119,4,Alameda,344104,12.74869922,9000.031839,110.020128,3768.651908,0.022216057,2884.847797,27.79466776,1287.451249,0.015241337,534.8373626,3.420647478,234.2775336,0,0,1,1,7,2,1,0,0.006,808750,22500,5000,1604,168,67,18965.36185,190,18965.36185,190,7165.011395,70,9.104983505,4.70067242,8.234472898,-3.762911112,7.967227768,3.324880173,7.160420544,-4.12019562,6.281964575,1.230122154,5.456510722,-4.96184513,13.60324513,10.02127063,8.517193391,7.380256412,5.123969932,4.204707545,9.850369534,5.247024072,9.850369534,5.247024072,8.876964931,4.248495242
Christie Avenue & Powell Street,Emeryville,CA,37.8384154,-122.2946627,4,Alameda,364675,12.80676183,5330.657952,308.8983841,3094.07952,0.08657618,1761.598114,125.9614208,1077.565303,0.108023314,305.7868895,30.38245672,181.0845028,0,1,0,1,0,0,0,1,0.0068,7477500,2602500,343750,15837,2858,577,23863.22342,256,23863.22342,256,9594.426582,112,8.58123014,5.733015606,8.037246055,-2.435246241,7.473977263,4.835983615,6.982460354,-2.21619353,5.72289169,3.413898273,5.198969311,-4.853631545,15.82740907,14.77198308,12.74766993,9.670104317,7.957877708,6.357844,10.08009378,5.545177444,10.08009378,5.545177444,9.168937645,4.718498871
San Pablo Avenue & 40th Street,Oakland,CA,37.8309868,-122.2797937,4,Alameda,1523913,14.23679193,7731.12235,201.5801022,3881.710481,0.044975998,1832.137325,51.26587588,1007.483299,0.047095212,267.4921634,7.118224082,149.9235005,1,0,0,1,4,0,0,1,0.0108,2168750,1206250,278750,6066,3080,671,43125.25155,614,43125.25155,614,12181.12714,182,8.953009454,5.306191793,8.264031439,-3.079635811,7.513239047,3.937044849,6.91521171,-3.034572649,5.589094009,1.962798742,5.010131837,-4.439655748,14.58966152,14.00302693,12.53807061,8.710454853,8.032685201,6.508770627,10.67186399,6.419994928,10.67186399,6.419994928,9.407643077,5.204006687
Fremont Boulevard & Mowry Boulevard,Fremont,CA,37.5486062,-121.988477,4,Alameda,1008719,13.82419177,7593.030303,169.2500919,2704.402128,0.059178378,1990.594122,26.31838144,722.3852354,0.042121018,312.7906455,4.391096063,114.138854,2,0,0,1,1,0,0,1,0.0031,5173750,1587500,395000,7796,1908,542,30753.08309,353,30753.08309,353,7098.62554,86,8.934986172,5.131383363,7.902636512,-2.810442168,7.596188929,3.270305605,6.582559948,-3.143744744,5.7455373,1.479806576,4.737424486,-5.496768305,15.45910832,14.27767101,12.88664105,8.961366189,7.553811376,6.295267846,10.33374553,5.866468057,10.33374553,5.866468057,8.867656458,4.454347296
Fremont Boulevard & Peralta Boulevard,Fremont,CA,37.5581225,-122.0067948,4,Alameda,280790,12.54536234,7237.639054,51.91276171,2635.128699,0.018849871,1517.417309,21.94806433,647.0462698,0.034580743,218.5624421,4.589338462,104.041544,1,1,0,1,2,1,0,0,0.0119,1190000,515000,170000,3553,1015,302,31784.34736,394,31784.34736,394,9428.002532,119,8.887050473,3.949583913,7.876687682,-3.91955778,7.324765689,3.088724511,6.472419352,-3.335950714,5.387076325,1.52395376,4.644799892,-4.350527968,13.98946387,13.15192218,12.04355372,8.175547877,6.922644877,5.710430329,10.36672923,5.976350909,10.36672923,5.976350909,9.151439533,4.779123493
Nichols Avenue & Mission Boulevard,Fremont,CA,37.5790451,-121.98306,4,Alameda,12533,9.436120524,2376.336212,6.412038241,844.6515909,0.007001831,556.3665395,1.803403855,201.0759067,0.008388855,81.59853863,0.365475144,30.52711104,1,0,0,1,1,1,0,0,0.0363,211250,77500,8750,489,206,28,25471.49785,219,25471.49785,219,7609.628256,63,7.773315595,1.858333143,6.738925408,-4.82808495,6.321429118,0.590230263,5.303687455,-4.668231931,4.401823608,-1.00382458,3.418647933,-3.288761952,12.26079755,11.25803323,9.076809094,6.192364534,5.327881023,3.332240224,10.14531537,5.38907173,10.14531537,5.38907173,8.9371696,4.143134726
Cherry Lane & Mowry Avenue,Fremont,CA,37.567436,-121.9731564,4,Alameda,65175,11.08483125,6221.504087,44.61115021,2103.765282,0.017696973,1514.297489,4.995174493,524.6318748,0.007706695,233.7326444,0.243213416,83.34883533,1,0,1,0,0,0,0,0,0.0084,362500,165000,151250,636,241,164,27311.19233,414,27311.19233,414,7131.952991,121,8.735767132,3.798006248,7.651484485,-3.979393648,7.322707567,1.608672518,6.262698732,-4.743663009,5.454182195,-1.40971278,4.423046634,-4.66704559,12.80077976,12.01370076,11.92668938,6.455200136,5.484801083,5.099872525,10.21505187,6.025865974,10.21505187,6.025865974,8.872340388,4.795790546
Paseo Padre Parkway & Mowry Avenue,Fremont,CA,37.5547591,-121.9832439,4,Alameda,706238,13.46770757,8918.241756,148.0661048,3254.765453,0.048256194,2236.860219,63.22701596,835.7487761,0.103202715,298.9802816,10.21645748,114.7519922,2,0,0,1,1,0,0,1,0.0044,7766250,3283750,947500,12022,4279,849,27182.936,321,27182.936,321,8226.67987,104,9.095854206,4.997665582,8.087875802,-3.010720159,7.712828921,4.146747493,6.728329257,-2.261417094,5.700380968,2.324097775,4.742781924,-5.221356325,15.86529798,15.00449662,13.76158222,9.394493667,8.36147485,6.744060364,10.2103447,5.771441123,10.2103447,5.771441123,9.015137794,4.644390899
Warm Springs Boulevard & Grimmer Boulevard,Fremont,CA,37.5051352,-121.9378996,4,Alameda,18905,9.847181769,1216.2641,5.19971466,375.6686419,0.011883445,96.61866598,0.398820711,30.25404605,0.011011845,4.567357679,0.015782162,1.500357533,0,2,0,1,0,0,0,0,0.0166,508750,43750,26250,13700,1221,722,19277.92972,167,19277.92972,167,5586.070446,48,7.103540049,1.648796051,5.928710145,-4.35181213,4.570782302,-0.916739055,3.409662982,-4.421862033,1.51915377,-4.087438742,0.406369721,-4.039856377,13.13971202,10.68624691,10.17542131,9.525151185,7.107426293,6.582026524,9.866716183,5.117993812,9.866716183,5.117993812,8.628031358,3.871201011
Foothill Boulevard & D Street,Hayward,CA,37.6709111,-122.0804027,4,Alameda,214003,12.27374532,6603.993237,59.52520476,2601.162631,0.019638843,1275.792763,10.46538916,553.5306366,0.018401139,113.5667761,2.329925614,57.07953387,1,0,1,1,2,1,0,1,0.0106,2451250,921250,111250,6648,3141,199,33717.14875,369,33717.14875,369,10706.45123,109,8.795429932,4.086416632,7.863714174,-3.880580374,7.151323823,2.348169091,6.316318908,-3.942423503,4.732399805,0.846265448,4.044463146,-4.456750181,14.71210866,13.73348672,11.61953521,8.802071487,8.052296818,5.29330985,10.42576185,5.910796644,10.42576185,5.910796644,9.278601757,4.691347882
Santa Clara Street & Ocie Way,Hayward,CA,37.6592051,-122.1005363,4,Alameda,75206,11.22798631,8836.453685,36.62131924,2586.881197,0.008543086,2223.538986,2.57338784,642.9033611,0.002255488,324.633579,0,92.66493555,0,1,0,1,1,1,0,0,0.0072,2936250,148750,0,6311,644,1,33233.39622,343,33233.39622,343,13355.13044,156,9.086641021,3.60065787,7.858208645,-4.651938323,7.706855793,0.945611774,6.465995975,-5.727413091,5.782700177,-6.907755279,4.529000935,-4.803621125,14.89264382,11.91002233,-6.907755279,8.75004958,6.467700279,0.0009995,10.41131056,5.837730447,10.41131056,5.837730447,9.499655892,5.049856007
Amador Street & Winton Avenue,Hayward,CA,37.6590622,-122.0947415,4,Alameda,605701,13.31414175,8514.968239,69.15029836,2632.388931,0.01568655,2243.508188,26.83884978,705.3554363,0.023102515,383.7867659,5.165907759,121.0034859,0,1,0,1,4,2,0,0,0.02,1698750,288750,228750,6029,4415,784,32450.62218,348,32450.62218,348,6166.171694,80,9.04958098,4.236296834,7.875647431,-4.093152301,7.715796521,3.289887715,6.558703258,-3.725439087,5.950089707,1.642274397,4.795827618,-3.863232841,14.34540325,12.57331654,12.34038499,8.704336604,8.39276334,6.664410296,10.3874749,5.85220248,10.3874749,5.85220248,8.726833453,4.382026635
Vasco Road & East Avenue,Livermore,CA,37.6798078,-121.7188223,4,Alameda,43069,10.67055878,2235.218788,11.10894194,710.3066674,0.010056258,671.9384962,2.989427383,208.1667134,0.009381074,127.2292007,0.448041108,38.73958511,0,2,0,1,0,0,0,0,0.0137,346250,177500,130000,9337,6870,6569,21130.78896,205,21130.78896,205,5593.917529,57,7.712094841,2.407840377,6.565698211,-4.504758648,6.510168301,1.095416315,5.338344069,-4.567770938,4.84599805,-0.800640841,3.656887761,-4.219907785,12.75491634,12.08672589,11.77528974,9.141740388,8.834919531,8.790117045,9.958486448,5.323009979,9.958486448,5.323009979,8.629435131,4.043051268
1st Street & Railroad Avenue,Livermore,CA,37.683583,-121.766648,4,Alameda,288772,12.57339273,5738.646101,56.82184414,2101.818267,0.019612106,1310.811195,12.48713667,480.3947257,0.017732768,176.5175906,0.675849127,65.90849206,1,0,0,1,5,2,0,1,0.0075,1573750,928750,260000,3280,1649,377,34980.38577,451,34980.38577,451,10189.27127,152,8.654978765,4.03993843,7.650558566,-3.881876694,7.17840222,2.524779127,6.174610193,-3.977480989,5.1734262,-0.390306886,4.188282468,-4.767689115,14.26897186,13.74159488,12.46843691,8.095599006,7.407924929,5.93224784,10.46254278,6.11146734,10.46254278,6.11146734,9.22909061,5.023880521
Willow Street & Thornton Avenue,Newark,CA,37.5255012,-122.0517031,4,Alameda,23221,10.05281236,1172.931857,5.702913364,326.1937593,0.01506142,66.65662932,0.182437101,18.1005048,0.007907256,8.880353736,0,2.390719435,1,1,0,1,1,0,0,0,0.0041,158750,66250,0,1182,917,111,18119.95966,161,18119.95966,161,7119.365129,69,7.067262607,1.741152494,5.787494624,-4.131335155,4.199569508,-1.695883444,2.895995073,-4.720889054,2.183953993,-6.907755279,0.872012536,-5.278514739,11.97508592,11.10119076,-6.907755279,7.074964044,6.821108563,4.70953921,9.804769354,5.081404365,9.804769354,5.081404365,8.870573833,4.234106505
San Leandro Street & 66th Avenue,Oakland,CA,37.7568289,-122.2007531,4,Alameda,75620,11.23347609,5856.237129,47.6457552,1772.854682,0.024603737,1466.74118,12.69636847,447.392318,0.025903137,268.6197855,2.722264462,79.47241846,0,0,0,1,1,1,0,1,0.0059,318750,32500,7500,2149,767,191,32169.82053,364,32169.82053,364,5795.881828,50,8.675262719,3.863814531,7.480346905,-3.66501695,7.290799016,2.541394765,6.103438114,-3.615512382,5.593300666,1.001831331,4.375422607,-4.976233867,12.67216238,10.3889954,8.922658433,7.672758362,6.642488105,5.252278664,10.37878404,5.897153868,10.37878404,5.897153868,8.664902915,3.912023005
Bancroft Avenue & Auseon Avenue,Oakland,CA,37.7563427,-122.1675956,4,Alameda,193824,12.17470581,11936.27253,73.96493778,3544.187934,0.016761763,3295.201508,27.02315523,918.8353818,0.022497097,543.7154712,6.69036881,146.7924583,0,1,0,1,2,0,0,0,0.009,201250,33750,11250,598,75,19,34762.85441,307,34762.85441,307,10198.74868,93,9.387337238,4.303604687,8.173064621,-4.030707297,8.100222904,3.296731104,6.823108067,-3.750878397,6.298427918,1.900818459,4.989026553,-4.605170186,12.2123032,10.42673573,9.328123497,6.393592426,4.317501447,2.944491609,10.45630469,5.726847748,10.45630469,5.726847748,9.230020313,4.532599493
Broadway & 12th Street,Oakland,CA,37.80295,-122.2720566,4,Alameda,6804804,15.73313939,13520.14796,1394.91769,7264.978741,0.220345815,3467.992557,333.3629417,1816.768301,0.229700143,637.3472257,65.41374648,332.8927466,1,1,0,1,8,3,2,1,0.0053,25207500,15272500,4632500,42238,24539,7315,53340.40946,977,53340.40946,977,11517.62311,144,9.511936367,7.240591406,8.890820787,-1.508029025,8.15133148,5.809234811,7.504815093,-1.466636494,6.457316171,4.180747714,5.80782336,-5.067205646,17.04265213,16.54156438,15.34860724,10.65107559,10.10801901,8.89768245,10.88444947,6.884486652,10.88444947,6.884486652,9.351633586,4.9698133
Broadway & 20th Street,Oakland,CA,37.8090704,-122.2682836,4,Alameda,10896861,16.20398532,12547.82272,965.3304982,6977.447408,0.154522914,2753.717428,151.2195528,1637.059454,0.109182616,446.7343902,23.12385086,268.3672655,0,1,0,1,3,1,0,1,0.0134,24058750,9913750,1497500,39189,17219,2846,43870.81804,681,43870.81804,681,11202.81903,156,9.437302521,6.872471564,8.850438571,-1.860962203,7.920707433,5.018739386,7.400657506,-2.205616144,6.101966451,3.140907834,5.592360162,-4.240527072,16.99600931,16.10943324,14.21930761,10.5761514,9.753768762,7.95367013,10.68900464,6.523562306,10.68900464,6.523562306,9.323920725,5.049856007
Airport Access Road & Doolittle Drive,Oakland,CA,37.7255523,-122.1994793,4,Alameda,12153,9.405331414,970.1567425,6.656460056,273.0543645,0.017540721,318.598348,2.375798166,88.17124543,0.019291608,63.58350123,0.522614347,17.21368199,2,0,0,1,0,0,0,1,0.0253,1015000,182500,26250,6736,518,43,16118.2323,142,16118.2323,142,7487.657373,74,6.877458679,1.895738039,5.609674575,-3.987785823,5.763934351,0.865754274,4.479292236,-3.897547877,4.152369749,-0.646999845,2.845762624,-3.63818634,13.83039917,12.11450546,10.17542131,8.815221704,6.249977173,3.761223371,9.687706351,4.955827058,9.687706351,4.955827058,8.92101126,4.304065093
Fruitvale Avenue & Foothill Boulevard,Oakland,CA,37.7837518,-122.2227823,4,Alameda,2587734,14.76629315,19621.91558,581.2219718,5770.529647,0.067703966,4753.740041,205.9626531,1411.997717,0.093878941,760.1442788,31.12601591,219.4904863,1,1,0,1,6,1,0,0,0.0153,1853750,407500,195000,4511,978,308,32917.17577,346,32917.17577,346,8061.782189,88,9.884402413,6.365134456,8.660519322,-2.677948351,8.466687175,5.327699712,7.252761509,-2.355153505,6.633509571,3.438076121,5.391313445,-4.116590171,14.43272117,12.91779621,12.18075484,8.414274359,6.885510693,5.73010303,10.40174986,5.846438775,10.40174986,5.846438775,8.994889926,4.477336814
Fruitvale Avenue & Alameda Avenue,Oakland,CA,37.7695896,-122.2297459,4,Alameda,76998,11.25153474,5161.184627,137.5133016,1804.836222,0.05365428,1350.34028,14.07630107,478.3244355,0.02064104,176.8403654,0.405494875,60.90363012,1,0,0,0,2,0,0,1,0.0636,1477500,303750,0,4142,917,2,36582.10336,507,36582.10336,507,7627.822973,104,8.548921605,4.923727923,7.498225685,-2.906727747,7.208112639,2.644563647,6.170291328,-3.833163767,5.17525309,-0.900183958,4.1093092,-2.739540868,14.20586203,12.62396028,-6.907755279,8.328934283,6.821108563,0.693647056,10.50731442,6.228511004,10.50731442,6.228511004,8.939557759,4.644390899
Staten Avenue & Grand Avenue,Oakland,CA,37.8087775,-122.2538248,4,Alameda,1686542,14.33819084,14634.7954,763.0286039,8312.367118,0.078793918,3496.129838,249.6266373,2144.393372,0.09897897,967.4731511,65.17110919,594.5714051,0,0,0,1,2,0,0,1,0.022,2052500,842500,538750,3483,1048,539,29336.74885,363,29336.74885,363,6470.026947,74,9.591157287,6.63729683,9.025499819,-2.528307992,8.159412161,5.519970357,7.670612447,-2.302795415,6.874688707,4.177031604,6.3878425,-3.772261063,14.53456912,13.64412894,13.19700692,8.155649557,6.954639819,6.289717426,10.28659624,5.894402834,10.28659624,5.894402834,8.774935552,4.304065093
Grand Avenue & Lake Park Avenue,Oakland,CA,37.8114199,-122.2480112,4,Alameda,1057721,13.87162715,14727.92824,523.282261,8049.964916,0.053429272,3443.675524,121.5055725,1869.748047,0.051855779,529.9186655,21.88495364,290.6372791,0,1,0,0,1,1,1,1,0.0396,2690000,1240000,425000,4460,2450,881,41446.45406,473,41446.45406,473,13401.82919,191,9.597500918,6.260122926,8.993423136,-2.910853185,8.144294937,4.799968356,7.533559501,-2.940188225,6.272725421,3.085845045,5.672079467,-3.203987212,14.80505175,14.03062194,12.95984445,8.402904269,7.803843712,6.781058761,10.63215761,6.159095388,10.63215761,6.159095388,9.503146483,5.252273428
Park Avenue & Otis Drive,Alameda,CA,37.7568911,-122.2473554,4,Alameda,717381,13.48336236,8299.842598,163.2475374,3605.696695,0.039007592,2319.434158,19.93908211,1066.331974,0.017951477,359.5936648,0.420113108,176.2176419,0,1,0,1,1,0,0,0,0.0056,2570000,1075000,16250,2985,834,43,23741.55191,217,23741.55191,217,7700.174848,74,9.02399195,5.095273809,8.190270566,-3.218686035,7.749078969,2.992731882,6.971980914,-3.965873409,5.884977466,-0.864853816,5.171725508,-5.02068563,14.75941646,13.88783122,9.695848249,8.001355361,6.726234601,3.761223371,10.07498204,5.379897354,10.07498204,5.379897354,8.948998315,4.304065093
